Zaman damgası,"Konu anlatımları, yazılımların mantığını kavramanda sana yeterli geldi mi?",Dersin ilerleyiş hızını genel olarak nasıl buldun?",Dönem sonunda Photoshop ve Illustrator'ı temel seviyede kullanabildiğini düşünüyor musun?,"Photoshop ve Illustrator'da seni en çok ne zorladı veya hangi aşamada takıldın? (Spesifik bir araç, proje ya da konu olabilir.)",Briefler hakkında ne düşünüyorsun? (Yeterli miydi? Fazla mıydı? Anlaşılır mıydı? Aradığın detaylara ulaşmak kolay mıydı? ya da başka diğer konular),Verilen ödevler arasında en çok keyif aldığın/öğrendiğin ve en az keyif aldığın/zorlandığın ödev hangisiydi? Neden?,Sınıf içi ödev değerlendirmeleri hakkındaki düşüncelerin neler? (Sana bir şey kattı mı? Adil miydi? Olmasa da olur muydu? vs.),"Dersle ilgili olumsuz ya da geliştirilmesi gerektiğini düşündüğün, bir sonraki dönem mutlaka değişmesi gereken ne var?","Dersle ve dersin işlenişi ile olumlu bulduğun, yapmaya aynen devam etmemiz gerektiğini düşündüğün şeyler neler?","Yukarıdaki sorulara sığdıramadığın, ders, içeriği, ödevler veya benimle ilgili eklemek istediğin başka bir şey var mı? Çekinmeden, aklına gelen her şeyi yazabilirsin."
02.12.2025 19:10:11,4,3,4,Photoshopta hala zorlanıyorum elimin alışmadığını düşünüyorum,Çok yeterliydi derste öğrendiklerimizi daha çok geliştirmeye yaradı çok memnundum,En keyif aldığım karakter en zorlandığım otoportreydi,Gelişmemi sağladığını düşünüyorum,,Ödev yorumlama değerlendirilmesi,
02.12.2025 19:10:51,1,1,4,,,,,Sesiniz daha yüksek çıkmalı hocam ve daha disiplinli bir anlatım tarzına gecmelisiniz,,
02.12.2025 19:11:27,5,5,4,Pentool karakter tasarımı ödevinde zorlandım ;/,Gayet Yeterli ve anlaşılırdı,Otoportre ödevinde ilgi alanlarıma uygun aynı zamanda tasarımda serbest olduğumuz için yaparken eğlendim,Programları öğrenmemiz için gerekli olduklarını düşünüyorum,Yok sanırım,Ayrı olarak bir şey söyleyemem ama aynı bu şekilde devam etmesi gayet iyi olur,Şuan yok 
02.12.2025 19:13:39,5,5,5,Genel olarak hocamız çok iyi anlatıp detaylı gösterdiği için zorlanmadım,Çok yeterliydi kritik almak için hocamıza ulaşmamız çok kolaydı hocamız bize o imkanı çok güzel sundu,Bütün ödevlerimiz ve derslerimiz çok keyifliydi,"Sınıf içi ödev değerlendirmeleri çok yararlıydı hocamız bütün herkesin ödevime olabildiğince zaman ayırıp detaylı yorumlar yaptı, yanlışlarımızı sabırla anlattı",Yok,"Ödev kritikleri, öğrencilerin derse katılımını etkileyecek sorular",Öncelikle her şey için teşekkür ederim bu dönem bana en çok şey katan hocalardan birisiniz umarım üniversite hayatım boyunca çeşitli derslerinizi alma fırsatım olur.
02.12.2025 19:14:51,5,5,5,Beni çok fazla zorlayan bir şey olduğunu düşünmüyorum,Gayet anlaşılır ve yeterliydi,En çok keyif aldığım tipografik poster ödeviydi çünkü ilgimi çeken ve yapabildiğimi hissettiğim bir ödevdi en az keyif aldığım ise pen tool ödeviydi daha başlangıç olduğu için zorlanmıştım,Yaptığım tasarımları daha iyi bir seviyeye taşıdığını düşünüyorum,Değiştirilmesi gereken bir şey olduğunu düşünmüyorum,Ödev kritikleri,
02.12.2025 19:24:07,5,4,4,Pen tool biraz zorladı. Photoshop illüstratör a göre daha komplike bence. Başta daha zordu sonralard daha basit olmaya başladı.,Berifleri okurken gerçekten keyif aldım. Açık net ve anlaşılır.,En az karekterden keyif aldım belki ikinci hafta değilde daha sonranın ödevi olabilir (4-5 gibi). Genel olarak diğer ödevler keyifliydi. Son üç ödev daha yaratıcıydı.,Galiba adildi.,Bazı derslerde ses (az ses)sorunu vardı ama o sınıfın yapısı ile kaynaklıydı muhtemelen. Belki daha fazla sunum yapabileceğimiz ödevler olabilir. ,Briefler çok güzel. Sınıfta ödevlere bakıp ve yorumlamanız olumlu. Revize süreleri yeterli. ,
02.12.2025 19:24:57,5,5,5,Photoshopda bir şeyi daha gerçekçi olarak oraya hoplamak sadece kesip biçme değil benzer renkleri tutturmakla da alakalı olduğu için o renk ayarları zor oldu bazen. ,"Fazlasıyka açıklayıcıydı, ellerinize sağlık. ",Kenimi anlatan bir photoshop yapmak ve illustrator da kendi karakterimizi yapmak çok keyifliydi. ,"Fazlasıyla cömert olup bizi şımarttığınızı düşünüyorum teşekkür ederiz, notlarınızın bolluğu bir sonraki ödev için en azından bana heves verdi yeni ödeve başlarken. ",,Ödevlerin bir sonraki ders yorumlanması çok değerliydi bence,"Ders anlatımınızın akıcılığını, öğrenciye karşı yakın ve her an yardım etmeye açık tavrınız çok sevdim hocam teşekkür ediyorum. Bir sonraki dönmelerde ise sadece sizin için bile o dersi alacağımı düşünüyorum ben. ~Tuana"
02.12.2025 19:28:06,5,5,5,,"Fazlasıyla açıklayıcı, anlaşılır ve netti tüm briefler. Aradığım her detayı bulabildim. Brieflerin sonuna konuyu anlatan videolar eklemeniz kendi adıma çok yararlı oldu.","En çok keyif aldığım: Tipografik poster tasarımı
En zorlandığım: Yapay zeka ile marka kimliği tasarımı ",Feedbackleriniz işlerime farklı açılardan bakmamı sağladı. Kendimi geliştirmemde yararlı olduğunu düşünüyorum.,Derslerde sesinizi uzak masalardan duymak zor oldu genel olarak. Dersler başka bir sınıfta yapılsa çok daha verimli olur.,Ödevler öğrenme ve gelişme sürecimiz için çok yararlıydı. Serbest konuların da olması daha çok keyif alarak yapmamı sağladı.,"Emekleriniz için teşekkür ederim hocam. Dolu dolu, verimli ve keyif aldığım bir dersti. -Berra Nur Güyüm"
02.12.2025 19:32:10,5,5,5,İllustratorda neredeyse hiçbir şey çok zorlamadı ancak photoshop neredeyse her anlamda çok zorladı. Daha fazla pratiğe ihtiyacım olmakla birlikte ilk halimden kesinlikle çok daha iyi olduğumu düşünüyorum.,"Bence gayet yeterliydi. Özellikle takılabileceğimiz yerlere dair videolar, bize referans olabilecek, ilham alabileceğimiz siteler vs. olması çok iyiydi.","En keyif aldığım sanırım karakter tasarımıydı. Çünkü karakter tasarlamak istiyorum ve bu ödev benim ilk adımım gibi bir şey oldu. Yaparken eğlendim o yüzden. En çok şey öğrendiğim muhtemelen yapay zeka ödevi. Aynı zamanda en zorlandığım tabi. Aynı anda logo, mood board, sunum gibi farklı aşamaları olan bi ödev ilk kez yaptım. Bide bazen yapay zekaya ne istediğimi tam anlatmak fazla zor oldu. ","Bence kesinlikle gerekliydi. Sadece kendi ödevlerimin kritiklerini alsaydım bu kadar gelişeceğimi düşünmüyorum. Farklı ödevler, düşünme şekilleri ve onların olumlu olumsuz yanlarını görmek çok faydalıydı benim için. Ve gayet adildi.",Bence yok.,Sınıf içi kritikler.,Ben bu dersi seçmeli almış olmama rağmen bu dönemdeki en eğlendiğim dersti. Ödevlerini yaparken en eğlendiğim derste bu oldu. Her şey için teşekkürler hocam:)
02.12.2025 19:50:43,5,5,5,"Sadece otoportremizi çalıştığımız photoshop ödevinde kompozisyon oluşturmakta zorlandım o da kişiye bağlı bir şey... Dersler sona yaklaştıkça bana bağlı olarak tasarımlarımda düşüş olduğunu hissettim, başta çok hevesliydim. (Bunu da burada belirtmek istedim hocam (: Size ya da dersinize bağlı bir şey değil eğer ders genelinde birkaç kişide bu durumu hissettiyseniz onlardan biri benim ve tamamen okulun hevesimi kursağımda bırakma meselesi...)","Ben bir üst dersin (git 217) brieflerinden alışkın olduğum için bana anlaşılır geldi fakat bir iki briefte bir sıkıntı vardı benim açımdan. Çok anlayamadığım briefler vardı, bir tanesi dönemin ortasındaki ödevdi diğeri de son yapay zeka ödevi. Birkaç eksik olduğunu düşünüyorum ya da daha dikkatli okumak gerekiyordu. Ama genel manada anlaşılır brieflerdi.",En çok keyif aldığım tabii ki illustrator ödevleriydi. Öğrendiğim ise photoshop ödevlerinin genelinden birkaç şeydi. En az keyif aldığım otoportre olabilir çalışmamı çok beğenemediğim için. Zorlandığım da otoportreydi. Teknik olarak değil ama fikir aşamasında zorlandım.,"Adildi ve tabii ki gerekliydi. Bir konuda aynı hatayı genelde tek bir kişi yapmıyor hem bizim açımızdan (tekrar sormamak, tek seferde hatayı öğrenmek, anlık düzeltmeler yaparak kritik almak gibi) hem de sizin açınızdan (o hatayı tek seferde, her yapana anlatıp hata üzerinden birkaç konuya da değinerek genel bilgi vermek) daha kolay olduğunu düşünüyorum. Bu dönem öğrenciler ekstra olarak teslim tarihlerinden de önce kişisel olarak kritik aldılar bence o çok gerekli değildi yani proje nasıl olmuş gibisinden değil de hocam şurayı anlamadım yapamadım gibisinden kritiklerse o mantıklı ama genel proje yorumunu zaten derste yaptığımız ve bir hafta da revize süremiz olduğu için kişisel yorum almayı pek mantıklı bulamadım. Genel manada da öyle yapmadım, derste gayet güzel, bilgilendirici dönütler aldığım için revize yapmam gereken ödevleri kolay bir şekilde düzeltebildim. Teşekkür ederim. (:","Adildi ve tabii ki gerekliydi. Bir konuda aynı hatayı genelde tek bir kişi yapmıyor hem bizim açımızdan (tekrar sormamak, tek seferde hatayı öğrenmek, anlık düzeltmeler yaparak kritik almak gibi) hem de sizin açınızdan (o hatayı tek seferde, her yapana anlatıp hata üzerinden birkaç konuya da değinerek genel bilgi vermek) daha kolay olduğunu düşünüyorum. Bu dönem öğrenciler ekstra olarak teslim tarihlerinden de önce kişisel olarak kritik aldılar bence o çok gerekli değildi yani proje nasıl olmuş gibisinden değil de hocam şurayı anlamadım yapamadım gibisinden kritiklerse o mantıklı ama genel proje yorumunu zaten derste yaptığımız ve bir hafta da revize süremiz olduğu için kişisel yorum almayı pek mantıklı bulamadım. Genel manada da öyle yapmadım, derste gayet güzel, bilgilendirici dönütler aldığım için revize yapmam gereken ödevleri kolay bir şekilde düzeltebildim. Teşekkür ederim. (:",
